City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Elat,IL,51.64,clear sky,29.5581,34.9482,Club Hotel Eilat
368,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
370,Jalu,LY,54.34,broken clouds,29.0331,21.5482,صاحبة الفخامة
371,Harlingen,US,69.89,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
372,Kandrian,PG,84.22,overcast clouds,-6.2167,149.55,Kandrian Station
375,Goundam,ML,72.84,broken clouds,16.4145,-3.6708,
376,Inirida,CO,77.97,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
378,Umm Kaddadah,SD,55.58,clear sky,13.6017,26.6876,
380,Bara,NG,65.16,broken clouds,10.3744,10.7288,
383,Saint Marys,US,53.82,clear sky,30.7305,-81.5465,Spencer House Inn
384,Sokolo,ML,75.67,few clouds,14.7328,-6.1219,
385,Charters Towers,AU,83.79,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
387,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
388,Bilma,NE,56.84,clear sky,18.6853,12.9164,Expeditions Ténére voyages
389,Ambilobe,MG,73.54,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
391,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
392,Lampa,CL,76.03,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
393,Marsh Harbour,BS,63.43,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
394,Ardmore,US,63.64,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
395,Cabinda,AO,78.04,light rain,-5.55,12.2,Hotel Maiombe
396,La Cumbre,AR,71.46,clear sky,-30.982,-64.4914,Posada Summit Suites
397,Panguna,PG,80.4,overcast clouds,-6.3164,155.4848,
398,Saint Simons,US,53.87,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
399,Port Lincoln,AU,71.31,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
400,Tuatapere,NZ,70.83,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
401,Basoko,CD,72.54,broken clouds,1.2391,23.616,Jackyna Hotel
402,Micheweni,TZ,79.09,overcast clouds,-4.9667,39.8333,
403,Am Timan,TD,70.18,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
404,Puri,IN,55.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
405,Necochea,AR,65.03,light rain,-38.5473,-58.7368,dyd -mar Hotel
407,Mookane,BW,68.61,overcast clouds,-23.688,26.6595,
408,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
410,Kulachi,PK,54.75,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
412,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
413,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
415,Hobyo,SO,76.62,light rain,5.3505,48.5268,Halane Hotel and Restaurent
416,Mitsamiouli,KM,80.29,clear sky,-11.3847,43.2844,Foyer ADM
417,Dubbo,AU,78.93,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
418,Bandundu,CD,75.61,overcast clouds,-3.3167,17.3667,Coja Color
419,Knysna,ZA,70.18,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
420,Pundaguitan,PH,80.67,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
421,Lazaro Cardenas,MX,81.16,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
423,Marzuq,YE,59.2,clear sky,14.4,46.4667,
