City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,Maragogi,-9.0122,-35.2225,76.3,86,27,4.61,BR,2022-01-27 04:33:51
199,Clinton,42.587,-82.9199,11.05,71,0,1.99,US,2022-01-27 04:30:28
200,Tuatapere,-46.1333,167.6833,57.81,51,33,7.4,NZ,2022-01-27 04:33:52
201,Yulara,-25.2406,130.9889,98.44,26,53,5.75,AU,2022-01-27 04:33:52
202,Otane,-39.8833,176.6333,68.02,44,71,12.28,NZ,2022-01-27 04:33:52
203,Bundaberg,-24.85,152.35,84.49,80,100,3.0,AU,2022-01-27 04:33:53
204,Lasa,46.6166,10.7002,44.06,50,80,6.17,IT,2022-01-27 04:33:53
205,Hamilton,39.1834,-84.5333,17.37,68,0,0.0,US,2022-01-27 04:30:30
206,Shaunavon,49.6501,-108.4181,28.18,91,99,17.2,CA,2022-01-27 04:33:54
207,Arraial Do Cabo,-22.9661,-42.0278,74.61,88,21,21.16,BR,2022-01-27 04:33:54
208,Salalah,17.0151,54.0924,68.09,68,20,3.44,OM,2022-01-27 04:33:54
209,Lagos,6.5833,3.75,75.52,96,23,1.74,NG,2022-01-27 04:30:05
210,Lampa,-33.2833,-70.9,68.77,72,0,10.36,CL,2022-01-27 04:31:14
211,Ban Nahin,18.2418,104.2122,85.98,27,3,3.85,LA,2022-01-27 04:33:55
212,Novobiryusinskiy,56.9578,97.7076,11.52,91,100,2.15,RU,2022-01-27 04:33:56
213,Madang,-5.2246,145.7966,84.11,80,100,3.6,PG,2022-01-27 04:33:56
214,Amahai,-3.3333,128.9167,86.43,66,93,5.99,ID,2022-01-27 04:33:56
215,Juwana,-6.715,111.1514,86.85,65,100,9.75,ID,2022-01-27 04:33:57
216,Kahului,20.8947,-156.47,75.85,74,20,6.91,US,2022-01-27 04:33:57
217,Summerland,49.5998,-119.6691,29.25,77,100,2.3,CA,2022-01-27 04:33:57
218,Saskylakh,71.9167,114.0833,-13.34,91,43,5.7,RU,2022-01-27 04:33:58
219,Smithers,54.7804,-127.1743,23.32,100,40,4.61,CA,2022-01-27 04:33:58
220,Nikolskoye,59.7035,30.7861,24.87,94,100,10.07,RU,2022-01-27 04:33:58
221,Salym,60.0625,71.4789,6.3,92,100,6.98,RU,2022-01-27 04:33:59
222,Belmonte,-15.8631,-38.8828,73.9,86,99,4.34,BR,2022-01-27 04:33:59
223,Copiapo,-27.3667,-70.3333,64.8,76,0,2.24,CL,2022-01-27 04:29:27
224,Thongwa,16.7619,96.5278,82.56,33,5,4.14,MM,2022-01-27 04:34:00
225,Tanout,14.9709,8.8879,53.02,27,1,17.27,NE,2022-01-27 04:34:00
226,Iquitos,-3.7481,-73.2472,77.04,94,75,2.3,PE,2022-01-27 04:34:01
227,Xuddur,4.1213,43.8894,70.05,65,51,20.38,SO,2022-01-27 04:34:01
228,Ampanihy,-24.7,44.75,79.83,53,0,6.71,MG,2022-01-27 04:34:01
