City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Hami,CN,42.8,93.45,21.74,44,95,1.74,overcast clouds
160,Teyateyaneng,LS,-29.1472,27.7489,61.14,87,100,1.86,light rain
161,Kharovsk,RU,59.9642,40.1912,11.68,96,100,6.98,overcast clouds
162,Yangambi,CD,0.8102,24.4336,71.73,39,89,2.28,overcast clouds
163,Norman Wells,CA,65.282,-126.8329,-25.56,68,75,0.0,light snow
164,Talaya,RU,61.3833,152.75,-12.26,95,100,6.08,overcast clouds
165,Opuwo,NA,-18.0607,13.84,62.91,52,59,5.32,broken clouds
166,Lerwick,GB,60.1545,-1.1494,37.4,97,100,6.76,overcast clouds
167,Buraydah,SA,26.326,43.975,55.85,44,88,10.33,overcast clouds
168,Requena,ES,39.4883,-1.1004,48.79,24,1,6.15,clear sky
169,Valley City,US,46.9233,-98.0032,18.59,92,0,17.27,clear sky
170,Ilulissat,GL,69.2167,-51.1,3.22,55,20,18.41,few clouds
171,Arak,IR,34.0917,49.6892,28.17,48,0,5.57,clear sky
172,Bluff,NZ,-46.6,168.3333,71.8,84,82,5.21,broken clouds
173,Save,BJ,8.0425,2.486,78.87,12,100,6.78,overcast clouds
174,Mahebourg,MU,-20.4081,57.7,79.09,94,75,9.22,broken clouds
175,Amot,NO,59.5714,7.9877,17.76,86,100,2.46,overcast clouds
176,Rockhampton,AU,-23.3833,150.5,84.09,70,20,5.75,few clouds
177,Safita,SY,34.8205,36.1153,46.51,77,100,9.31,overcast clouds
178,Faya,SA,18.3851,42.4509,55.51,79,14,4.14,few clouds
179,Melbourne,US,28.0836,-80.6081,51.96,65,0,0.0,clear sky
180,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,20,8.05,few clouds
181,Lagoa,PT,39.05,-27.9833,58.78,68,61,24.56,broken clouds
182,Pacasmayo,PE,-7.4006,-79.5714,71.55,78,100,13.22,overcast clouds
183,Ixtapa,MX,20.7,-105.2,75.22,85,4,5.99,clear sky
184,Antalaha,MG,-14.9003,50.2788,74.68,86,17,7.47,few clouds
185,Byron Bay,AU,-28.65,153.6167,82.87,71,61,9.53,broken clouds
186,Kavaratti,IN,10.5669,72.642,81.21,72,11,5.53,few clouds
187,Adrar,MR,20.5022,-10.0711,73.2,13,100,11.3,overcast clouds
188,Ulladulla,AU,-35.35,150.4667,82.87,66,6,7.23,clear sky
189,Brawley,US,32.9787,-115.5303,79.05,8,0,3.44,clear sky
190,Khatanga,RU,71.9667,102.5,-5.31,98,98,8.84,overcast clouds
191,Bairiki,KI,1.3292,172.9752,87.8,70,20,13.8,light rain
192,Hithadhoo,MV,-0.6,73.0833,81.55,71,65,9.46,broken clouds
193,Mareeba,AU,-17.0,145.4333,86.32,81,99,1.34,overcast clouds
194,Mar Del Plata,AR,-38.0023,-57.5575,67.87,79,75,14.0,broken clouds
195,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,100,20.71,light snow
196,Vilyuysk,RU,63.7553,121.6247,-26.09,99,90,4.09,overcast clouds
197,Pokaran,IN,26.9167,71.9167,61.57,32,0,4.65,clear sky
198,Aklavik,CA,68.2191,-135.0107,2.23,96,100,3.58,overcast clouds
199,Mulege,MX,26.8833,-111.9833,66.7,38,96,8.63,overcast clouds
200,Ewo,CG,-0.8725,14.8206,79.54,55,100,3.15,overcast clouds
201,Imbituba,BR,-28.24,-48.6703,74.82,75,36,5.17,scattered clouds
202,Carora,VE,10.1755,-70.0827,78.15,57,64,9.33,broken clouds
203,Carnarvon,AU,-24.8667,113.6333,80.67,69,41,17.27,scattered clouds
204,Progreso,MX,21.2833,-89.6667,71.11,60,0,12.44,clear sky
205,Srednekolymsk,RU,67.45,153.6833,-29.74,100,100,1.86,overcast clouds
206,Bafq,IR,31.6128,55.4107,44.91,35,61,1.36,broken clouds
207,San Quintin,MX,30.4833,-115.95,62.67,54,1,10.29,clear sky
208,Ratnagiri,IN,16.9833,73.3,69.57,59,0,4.32,clear sky
209,Miraflores,MX,19.2167,-98.8083,72.03,42,4,3.78,clear sky
210,Vardo,NO,70.3705,31.1107,26.8,62,98,13.38,overcast clouds
211,Bluefield,US,37.2698,-81.2223,34.36,53,0,10.36,clear sky
212,Bochnia,PL,49.9691,20.4303,38.37,79,99,21.0,overcast clouds
213,Xinmin,CN,41.9908,122.8253,8.85,41,84,5.99,broken clouds
214,Churapcha,RU,62.0025,132.4325,-38.4,100,89,2.8,overcast clouds
215,Merauke,ID,-8.4667,140.3333,83.03,70,99,6.62,overcast clouds
216,Banjar,ID,-8.19,114.9675,82.26,87,100,3.15,overcast clouds
217,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,42,10.47,scattered clouds
218,Nouadhibou,MR,20.931,-17.0347,64.38,63,100,16.11,overcast clouds
219,Chuy,UY,-33.6971,-53.4616,70.97,78,13,14.14,few clouds
220,Portland,US,45.5234,-122.6762,54.36,76,100,8.01,overcast clouds
221,Novovarshavka,RU,54.1721,74.6946,3.15,97,86,8.23,overcast clouds
222,Novyy Urengoy,RU,66.0833,76.6333,-5.19,100,97,6.64,overcast clouds
223,Millau,FR,44.0833,2.9167,39.33,98,12,4.47,few clouds
224,Ulaanbaatar,MN,47.9077,106.8832,-27.27,68,0,2.24,clear sky
225,Yuanping,CN,38.7153,112.7575,17.55,35,0,5.88,clear sky
226,Castro,BR,-24.7911,-50.0119,62.76,99,98,8.77,overcast clouds
227,Milkovo,RU,54.7167,158.6167,17.26,94,100,4.05,light snow
228,Cidreira,BR,-30.1811,-50.2056,73.76,70,4,18.7,clear sky
229,Benton Harbor,US,42.1167,-86.4542,29.05,75,100,0.0,overcast clouds
230,Ishim,RU,56.1128,69.4902,9.34,95,100,7.23,overcast clouds
231,Poum,NC,-20.2333,164.0167,80.49,73,98,9.35,overcast clouds
232,Solton,RU,52.8429,86.4787,-6.97,100,80,2.21,broken clouds
233,Grindavik,IS,63.8424,-22.4338,25.27,86,75,31.07,light shower snow
234,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,81.43,16,0,4.68,clear sky
235,Yeppoon,AU,-23.1333,150.7333,83.98,70,33,10.54,scattered clouds
236,Huarmey,PE,-10.0681,-78.1522,71.22,84,100,8.05,overcast clouds
237,Williamsport,US,41.2412,-77.0011,20.93,59,0,4.61,clear sky
238,Klaksvik,FO,62.2266,-6.589,36.52,54,99,40.24,overcast clouds
239,Athabasca,CA,54.7169,-113.2854,24.98,97,100,3.85,overcast clouds
240,Gusau,NG,12.1628,6.6614,65.35,15,51,13.73,broken clouds
241,Butaritari,KI,3.0707,172.7902,82.04,76,28,20.92,light rain
242,Shalakusha,RU,62.2247,40.2539,9.93,95,100,5.73,overcast clouds
